org_code,attendances,breaches
R1H,998934,201171
RW6,811852,168620
RDU,719006,77526
RF4,697635,150318
RXF,688461,109953
RAL,688082,103247
RQM,623161,52560
RR8,618358,111111
RJZ,600393,159238
RWE,586012,156410
RJ2,557348,104808
RRK,539434,123788
RJE,528932,148147
RR1,517744,104586
RXK,504256,104144
RX1,497100,140808
RVV,485659,143794
RJ7,468737,56191
RTG,458066,87989
RJ1,457345,71891
RXH,456070,87277
RWD,452135,121365
RWY,451941,35972
RVR,445155,33300
RAP,443542,86872
RWF,443465,55065
RDD,431363,45231
R1K,427656,130268
RKB,427439,100149
RTE,426064,56498
RYR,423028,29011
RRV,417845,55775
RJL,412905,62265
RP5,406216,41368
RWA,403437,65170
RL4,403358,61620
RTH,402426,68266
RXP,396807,59454
RAE,389954,65762
RGN,386250,76139
R0A,383915,84716
RTR,382740,22799
RQX,370767,20897
RTD,367408,32439
RWP,366751,120033
RTF,351981,32289
RYJ,350291,98602
RGT,349822,64634
RXC,349805,48430
RXW,348484,98986
RDE,345979,44692
RCB,341142,75772
RHU,341140,101300
RM1,335449,71559
RA7,334797,54914
RN5,334408,52748
RHW,332550,34762
RBN,330436,78724
RXR,329438,93487
RAX,324948,38092
RMC,321840,59064
RHQ,321636,77955
RN7,317865,48915
RPA,316486,70503
RNS,313791,51249
RNA,313641,60645
RC9,313360,6979
RWH,309893,70404
RK5,308429,27051
RQW,307703,84652
RKE,307573,36174
RHM,307560,47048
RM3,305121,46647
RTK,303072,51805
RK9,300933,65942
RH8,292984,30562
RTP,291288,21324
RQ8,290697,53090
RWG,288065,81615
RLN,286732,41497
RQ6,284687,82930
RAJ,282463,42925
RNL,279577,33774
RBL,279029,68922
RWJ,278315,64984
RTX,270999,48352
RR7,269617,18174
RNQ,268336,49726
RFF,266252,20616
RVJ,265900,56115
RD8,263069,35807
REM,261567,76108
RRF,260676,44878
RMP,259238,38836
RFR,258132,39079
RXQ,243961,48648
RXL,243751,87724
RLT,241876,32469
RWW,240263,45397
RN3,235073,51655
RFS,234818,25415
RVY,234785,44964
RJ6,232770,59351
RDZ,231532,19326
RBK,229235,63674
RC1,224728,22535
REF,224470,51826
RW3,224382,34221
RA9,223649,37582
RXN,221943,62999
RGP,220970,23005
RD1,218676,45129
RJR,217014,37109
RA2,214089,20239
RBA,210483,20184
RGR,206086,23185
RD3,202119,23836
RJC,199967,14117
RBT,199140,34662
RAS,198536,77802
RCX,195993,27259
RGQ,194984,19058
RE9,185689,12743
RCF,184105,16065
RBS,179512,9298
RQ3,179249,13524
RCU,170310,4675
RLQ,170116,39516
RVW,161210,14053
RA4,153076,5931
RA3,150375,25711
RCD,148583,9062
RM2,148239,18769
RJF,146296,23246
RJN,144352,27602
RNZ,141818,14676
RBZ,137929,24334
RBD,136431,9721
R1F,134308,27515
RQQ,45984,9480
